accession_number,dataset_url,dataset_name,num_subjects,modalities,dx_status,ages,doi_of_papers_from_source_data_lab,doi_of_paper_published_using_openneuro_dataset,senior_author
ds000001,https://openneuro.org/datasets/ds000001/versions/1.0.0,ds001,16,"MRI - func, MRI - anat",,"18-25, 26-34",,,"Poldrack, Russell A."
ds000002,https://openneuro.org/datasets/ds000002/versions/00002,Classification learning,17,"MRI - func, MRI - anat",,"18-25, 26-34",,,"Poldrack, R.A."
ds000003,https://openneuro.org/datasets/ds000003/versions/1.0.0,Rhyme judgment,13,"MRI - anat, MRI - func",,"18-25, 26-34, 35-50",,,"Poldrack, Russell A."
ds000005,https://openneuro.org/datasets/ds000005/versions/00001,ds000005,16,"MRI - func, MRI - anat",,"18-25, 26-34",,,"R.A., Poldrack"
ds000006,https://openneuro.org/datasets/ds000006/versions/00001,ds000006,14,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",,,"Poldrack, RA"
ds000007,https://openneuro.org/datasets/ds000007/versions/00001,ds000007,20,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",,,"RA, Poldrack"
ds000008,https://openneuro.org/datasets/ds000008/versions/00001,ds000008,14,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",,,"Poldrack, R.A."
ds000009,https://openneuro.org/datasets/ds000009/versions/00002,ds000009,24,"MRI - func, MRI - dwi, MRI - anat",,"18-25, 26-34",,,"Poldrack, Russell"
ds000011,https://openneuro.org/datasets/ds000011/versions/1.0.0,Classification learning and tone-counting,14,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",,,"Poldrack, Russell A."
ds000017,https://openneuro.org/datasets/ds000017/versions/00001,ds000017,8,"MRI - func, MRI - anat",,"18-25, 35-50",,,"Poldrack, Russell A."
ds000030,https://openneuro.org/datasets/ds000030/versions/1.0.0,ds000030_R1.0.5,272,"MRI - func, MRI - dwi, MRI - anat",,"18-25, 26-34, 35-50",,,"Sabb, F"
ds000031,https://openneuro.org/datasets/ds000031/versions/2.0.2,MyConnectome,1,"MRI - func, MRI - dwi, MRI - anat",,35-50,,,"Poldrack, Russell"
ds000051,https://openneuro.org/datasets/ds000051/versions/00001,Cross-language repetition priming,13,"MRI - func, MRI - anat",,,,,"Poldrack, R.A."
ds000052,https://openneuro.org/datasets/ds000052/versions/00001,ds000052,13,"MRI - func, MRI - anat",,,,,"Gluck, M"
ds000053,https://openneuro.org/datasets/ds000053/versions/00001,Training of loss aversion modulates neural sensitivity toward potential gains,59,"MRI - func, MRI - anat",,"18-25, 26-34",,,"Poldrack, Russell A."
ds000101,https://openneuro.org/datasets/ds000101/versions/00004,ds000101,21,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",,,"MP, Milham"
ds000102,https://openneuro.org/datasets/ds000102/versions/00001,ds000102,26,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",,,"MP, Milham"
ds000105,https://openneuro.org/datasets/ds000105/versions/3.0.0,Visual object recognition,6,"MRI - func, MRI - anat",,,,,"Pietrini, P."
ds000107,https://openneuro.org/datasets/ds000107/versions/00001,Word and object processing,49,"MRI - func, MRI - anat",,,,,"Devlin, J.T."
ds000108,https://openneuro.org/datasets/ds000108/versions/00002,ds000108,34,MRI - anat,,"18-25, 26-34, 35-50",,,"Ochsner, K.N."
ds000109,https://openneuro.org/datasets/ds000109/versions/2.0.2,"Social cognitive tasks (animate movement task, moral judgment task, false belief task)",36,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65, 66+",,,"Mitchell, J.P."
ds000110,https://openneuro.org/datasets/ds000110/versions/00001,Incidental encoding task (Posner Cueing Paradigm),18,"MRI - func, MRI - anat",,"18-25, 26-34",,,"Wagner, Anthony D."
ds000113,https://openneuro.org/datasets/ds000113/versions/1.3.0,Forrest Gump,37,"MRI - func, MRI - dwi, MRI - anat",,"11-17, 18-25, 26-34, 35-50",,,"Stadler, Jorg"
ds000114,https://openneuro.org/datasets/ds000114/versions/1.0.2,"A test-retest fMRI dataset for motor, language and spatial attention functions.",10,"MRI - func, MRI - dwi, MRI - anat",,,,,"CR, Pernet"
ds000115,https://openneuro.org/datasets/ds000115/versions/00001,ds000115,99,"MRI - func, MRI - anat",,"11-17, 18-25, 26-34",,,"Barch, Deanna M."
ds000116,https://openneuro.org/datasets/ds000116/versions/00003,Auditory and Visual Oddball EEG-fMRI,17,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",,,"Sajda, Paul"
ds000117,https://openneuro.org/datasets/ds000117/versions/1.0.6,"Multisubject, multimodal face processing",16,"MRI - func, MRI - dwi, MRI - anat, MEG",,"18-25, 26-34",,,"Henson, RN"
ds000119,https://openneuro.org/datasets/ds000119/versions/00001,Maturational Changes in Anterior Cingulate and Frontoparietal Recruitment Support the Development of Error Processing and Inhibitory Control (Antistate),73,"MRI - func, MRI - anat",,,,,"Luna, Beatriz"
ds000120,https://openneuro.org/datasets/ds000120/versions/00001,Developmental changes in brain function underlying the influence of reward processing on inhibitory control (Slot Reward),26,"MRI - func, MRI - anat",,"0-10, 11-17, 18-25",,,"Luna, Beatriz"
ds000121,https://openneuro.org/datasets/ds000121/versions/00001,Immaturities in Reward Processing and Its Influence on Inhibitory Control in Adolescence (Ring Reward),28,"MRI - func, MRI - anat",,,,,"Luna, B."
ds000122,https://openneuro.org/datasets/ds000122/versions/00001,ds000122,17,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",,,"Potenza, MN"
ds000133,https://openneuro.org/datasets/ds000133/versions/00001,Modafinil alters intrinsic functional connectivity of the right posterior insula: a pharmacological resting state fMRI study,26,"MRI - func, MRI - anat",,,,,"Sensi, Stefano L."
ds000138,https://openneuro.org/datasets/ds000138/versions/00002,ds000138_R2.0.0,16,MRI - func,,"18-25, 26-34, 35-50",,,"J, Gierthmuhlen"
ds000140,https://openneuro.org/datasets/ds000140/versions/00001,Distinct brain systems mediate the effects of nociceptive input and self-regulation on pain,33,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65",,,"Wager, Tor D."
ds000144,https://openneuro.org/datasets/ds000144/versions/00002,ds000144_R1.0.0,45,"MRI - func, MRI - anat",,,,,"Egger, Helen L."
ds000148,https://openneuro.org/datasets/ds000148/versions/1.0.0,ds000148,49,"MRI - func, MRI - anat",,18-25,,,"Falkiewicz, Marcel"
ds000149,https://openneuro.org/datasets/ds000149/versions/1.0.0,Scene Perception,15,"MRI - func, MRI - anat",,"18-25, 26-34",,,"Tarr,  Michael J."
ds000157,https://openneuro.org/datasets/ds000157/versions/00001,Block design food and nonfood picture viewing task,30,"MRI - func, MRI - anat",,"18-25, 26-34",,,"Ridder, D. T. D. de"
ds000158,https://openneuro.org/datasets/ds000158/versions/1.0.0,The human Voice Areas: spatial organisation and inter-individual variability in temporal and extra-temporal cortices,217,"MRI - anat, MRI - func",,,,,"Fleming, D"
ds000164,https://openneuro.org/datasets/ds000164/versions/00001,Stroop Task,28,"MRI - func, MRI - anat",,,,,"Verstynen, Timothy D."
