Dataset Name,Link,Paper Link,Source / Institutions (Location),Ethics Approval,Is Age Explicitly Documented,Age Documented How,Is Age Complete,Patient Demographics / Covariates / Metadata,Sample Size,Imaging Modality(ies),Peds vs. Adult,Organ / Body Part
ds000001,https://openneuro.org/datasets/ds000001/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 23.56 years
Age Range: 19.00 to 30.00 years","Patients: 16
Sequences: 16",MRI,Adult,Brain
ds000002,https://openneuro.org/datasets/ds000002/versions/00002,,,,True,Patient-Level,True,"Avg. Age: 23.29 years
Age Range: 19.00 to 31.00 years","Patients: 17
Sequences: 17",MRI,Adult,Brain
ds000003,https://openneuro.org/datasets/ds000003/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 24.08 years
Age Range: 18.00 to 38.00 years","Patients: 13
Sequences: 13",MRI,Adult,Brain
ds000005,https://openneuro.org/datasets/ds000005/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 22.06 years
Age Range: 19.00 to 28.00 years","Patients: 16
Sequences: 16",MRI,Adult,Brain
ds000006,https://openneuro.org/datasets/ds000006/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 22.79 years
Age Range: 19.00 to 35.00 years","Patients: 14
Sequences: 14",MRI,Adult,Brain
ds000007,https://openneuro.org/datasets/ds000007/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 23.75 years
Age Range: 18.00 to 39.00 years","Patients: 20
Sequences: 20",MRI,Adult,Brain
ds000008,https://openneuro.org/datasets/ds000008/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 25.29 years
Age Range: 20.00 to 37.00 years","Patients: 14
Sequences: 14",MRI,Adult,Brain
ds000009,https://openneuro.org/datasets/ds000009/versions/00002,,,,True,Patient-Level,True,"Avg. Age: 21.08 years
Age Range: 18.00 to 33.00 years","Patients: 24
Sequences: 24",MRI,Adult,Brain
ds000011,https://openneuro.org/datasets/ds000011/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 25.71 years
Age Range: 19.00 to 37.00 years","Patients: 14
Sequences: 14",MRI,Adult,Brain
ds000017,https://openneuro.org/datasets/ds000017/versions/00001,,,,True,Patient-Level,False,"Avg. Age: 43.40 years
Age Range: 25.00 to 50.00 years","Patients: 8
Sequences: 8",MRI,Adult,Brain
