Category,Image Collection,Benchmark,Dataset Name,Link,Paper Link,Considerations,Inferred,Is Age Explicitly Documented,Age Documented How,Is Age Complete,Source / Institutions (Location),Patient Demographics / Covariates / Metadata,Sample Size,Peds Sample Size,Percentage Overall,Imaging Modality(ies),Peds vs. Adult,Organ / Body Part,Task / Pathology,Task Category
collections_datasets,OpenNeuro,,ds004605,https://openneuro.org/datasets/ds004605/versions/1.0.1,"https://doi.org/10.1007/978-0-387-79948-3_1534
https://doi.org/10.1111%2Fj.1469-7610.2012.02561.x
https://doi.org/10.1007/s10826-006-9120-3
https://doi.org/10.1001/archpsyc.1983.01790100074010
https://doi.org/10.1097/00004583-199707000-00021",,,True,Patient-Level,1.0,National Institute of Mental Health (USA),"Avg. Age: 12.69 years
Age Range: 7.60 to 20.50 years","Patients: 583
Sequences: 583",573.0307,17.29,MRI,"Peds, Adult (>1.71%)",Brain,,
collections_datasets,OpenNeuro,,ds004146,https://openneuro.org/datasets/ds004146/versions/1.0.4,,,,True,Task/Data Description,,,Age Range: 0.00 to 17.00 years,"Patients: 417
Sequences: 417",417.0,12.58,MRI,Peds,Brain,,
collections_datasets,OpenNeuro,,ds001894,https://openneuro.org/datasets/ds001894/versions/1.4.2,,,,True,Patient-Level,1.0,,"Avg. Age: 10.48 years
Age Range: 7.50 to 14.38 years","Patients: 188
Sequences: 188",188.0,5.67,MRI,Peds,Brain,,
collections_datasets,OpenNeuro,,ds004169,https://openneuro.org/datasets/ds004169/versions/1.0.7,,,,True,Patient-Level,1.0,QIMR Berghofer Medical Research Institute (Australia),"Avg. Age: 21.17 years
Age Range: 12.00 to 30.00 years","Patients: 1202
Sequences: 1202",176.0930000000001,5.31,MRI,"Peds, Adult (>85.35%)",Brain,,
collections_datasets,OpenNeuro,,ds004199,https://openneuro.org/datasets/ds004199/versions/1.0.5,,,,True,Patient-Level,1.0,University of Bonn (Germany),"Avg. Age: 6.63 years
Age Range: 3.00 to 13.00 years","Patients: 170
Sequences: 170",170.0,5.13,MRI,Peds,Brain,,
challenges,,,2024 BONBID-HIE,https://bonbid-hie2024.grand-challenge.org/bonbid-hie2024/,https://www.biorxiv.org/content/10.1101/2023.06.30.546841v1.full,,,True,Summary Statistics,,"Massachusetts General Hospital (USA)
Boston Children's Hospital (USA)","Inclusion Criteria: Infant with hypoxic ischemic encephalopathy. MRI was acquired within 14 days of birth
Avg. Age: 3.9 days
Age Range: 0 to 14 days
Sex: M (55%),  F (45%)
Ethnicity: N/A but most likely from mother; White (32%), Black (5%), Hispanic or Latino (11%), Mixed (4%), N/A (43%),  Others (5%)","Patients: 133
Images: 133",133.0,4.01,MRI,Peds,Brain,"Lesion Segmentation, Future Patient Outcome Classification","Lesion/Tumor Segmentation/Detection, Outcome Classification"
collections_datasets,OpenNeuro,,ds001486,https://openneuro.org/datasets/ds001486/versions/1.3.1,,,,True,Patient-Level,1.0,,"Avg. Age: 11.26 years
Age Range: 8.36 to 15.00 years","Patients: 132
Sequences: 132",132.0,3.98,MRI,Peds,Brain,,
collections_datasets,OpenNeuro,,ds000228,https://openneuro.org/datasets/ds000228/versions/1.1.1,https://doi.org/10.1038/s41467-018-03399-2,,,True,Patient-Level,1.0,MIT (USA),"Avg. Age: 10.56 years
Age Range: 3.52 to 39.00 years","Patients: 155
Sequences: 155",122.0005,3.68,MRI,"Peds, Adult (>21.29%)",Brain,,
collections_datasets,OpenNeuro,,ds003416,https://openneuro.org/datasets/ds003416/versions/2.0.2,https://doi.org/10.1002/mrm.28926,,,True,Patient-Level,1.0,"Vanderbilt University (USA)
Mayo Clinic (USA)
Rutgers University (USA)","Avg. Age: 14.46 years
Age Range: 5.40 to 47.00 years","Patients: 169
Sequences: 169",118.01269999999998,3.56,MRI,"Peds, Adult (>30.17%)",Brain,,
collections_datasets,OpenNeuro,,ds002385,https://openneuro.org/datasets/ds002385/versions/1.1.0,,,,True,Patient-Level,0.0,,"Avg. Age: 21.39 years
Age Range: 12.04 to 33.35 years","Patients: 333
Sequences: 333",104.89499999999998,3.16,MRI,"Peds, Adult (>68.5%)",Brain,,
